Id,Site,Imt,PoE,Dist,Mag
3,Nur-Sultan,SA(3.0),0.63,None,None
3,Nur-Sultan,PGA,0.39,175.0,5.5
3,Nur-Sultan,SA(0.1),0.39,175.0,5.5
3,Nur-Sultan,SA(0.2),0.39,175.0,5.5
3,Nur-Sultan,SA(0.5),0.39,185.0,5.5
3,Nur-Sultan,SA(1.0),0.39,185.0,5.5
3,Nur-Sultan,SA(2.0),0.39,None,None
3,Nur-Sultan,SA(3.0),0.39,None,None
3,Nur-Sultan,PGA,0.18,145.0,5.5
3,Nur-Sultan,SA(0.1),0.18,145.0,5.5
3,Nur-Sultan,SA(0.2),0.18,175.0,5.5
3,Nur-Sultan,SA(0.5),0.18,185.0,5.5
3,Nur-Sultan,SA(1.0),0.18,185.0,5.5
3,Nur-Sultan,SA(2.0),0.18,None,None
3,Nur-Sultan,SA(3.0),0.18,None,None
3,Nur-Sultan,PGA,0.1,145.0,5.5
3,Nur-Sultan,SA(0.1),0.1,145.0,5.5
3,Nur-Sultan,SA(0.2),0.1,145.0,5.5
3,Nur-Sultan,SA(0.5),0.1,185.0,5.5
3,Nur-Sultan,SA(1.0),0.1,185.0,5.5
3,Nur-Sultan,SA(2.0),0.1,185.0,5.5
3,Nur-Sultan,SA(3.0),0.1,None,None
3,Nur-Sultan,PGA,0.09,145.0,5.5
3,Nur-Sultan,SA(0.1),0.09,145.0,5.5
3,Nur-Sultan,SA(0.2),0.09,145.0,5.5
3,Nur-Sultan,SA(0.5),0.09,185.0,5.5
3,Nur-Sultan,SA(1.0),0.09,185.0,5.5
3,Nur-Sultan,SA(2.0),0.09,185.0,5.5
3,Nur-Sultan,SA(3.0),0.09,None,None
3,Nur-Sultan,PGA,0.05,145.0,5.5
3,Nur-Sultan,SA(0.1),0.05,145.0,5.5
3,Nur-Sultan,SA(0.2),0.05,145.0,5.5
3,Nur-Sultan,SA(0.5),0.05,155.0,5.5
3,Nur-Sultan,SA(1.0),0.05,165.0,5.5
3,Nur-Sultan,SA(2.0),0.05,185.0,5.5
3,Nur-Sultan,SA(3.0),0.05,None,None
4,Bishkek,PGA,0.86,35.0,5.5
4,Bishkek,SA(0.1),0.86,35.0,5.5
4,Bishkek,SA(0.2),0.86,25.0,5.5
4,Bishkek,SA(0.5),0.86,25.0,5.5
4,Bishkek,SA(1.0),0.86,25.0,5.5
4,Bishkek,SA(2.0),0.86,25.0,5.5
4,Bishkek,SA(3.0),0.86,25.0,5.5
4,Bishkek,PGA,0.63,25.0,5.5
4,Bishkek,SA(0.1),0.63,25.0,5.5
4,Bishkek,SA(0.2),0.63,25.0,5.5
4,Bishkek,SA(0.5),0.63,25.0,5.5
4,Bishkek,SA(1.0),0.63,25.0,5.5
4,Bishkek,SA(2.0),0.63,15.0,5.5
4,Bishkek,SA(3.0),0.63,35.0,6.5
4,Bishkek,PGA,0.39,25.0,5.5
4,Bishkek,SA(0.1),0.39,25.0,5.5
4,Bishkek,SA(0.2),0.39,25.0,5.5
4,Bishkek,SA(0.5),0.39,15.0,5.5
4,Bishkek,SA(1.0),0.39,15.0,5.5
4,Bishkek,SA(2.0),0.39,25.0,6.5
4,Bishkek,SA(3.0),0.39,25.0,6.5
4,Bishkek,PGA,0.18,25.0,5.5
4,Bishkek,SA(0.1),0.18,25.0,5.5
4,Bishkek,SA(0.2),0.18,15.0,5.5
4,Bishkek,SA(0.5),0.18,15.0,5.5
4,Bishkek,SA(1.0),0.18,25.0,6.5
4,Bishkek,SA(2.0),0.18,25.0,6.5
4,Bishkek,SA(3.0),0.18,25.0,6.5
4,Bishkek,PGA,0.1,15.0,5.5
4,Bishkek,SA(0.1),0.1,15.0,5.5
4,Bishkek,SA(0.2),0.1,15.0,5.5
4,Bishkek,SA(0.5),0.1,15.0,6.5
4,Bishkek,SA(1.0),0.1,25.0,6.5
4,Bishkek,SA(2.0),0.1,25.0,6.5
