time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-08T01:27:18.634Z,-33.4367,-178.3861,10,4.8,mb,46,191,4.181,0.53,us,us6000nx73,2024-10-08T21:59:11.005Z,"south of the Kermadec Islands",earthquake,15.88,1.941,0.139,16,reviewed,us,us
2024-10-08T00:35:35.838Z,-36.2784,-99.2002,10,5.7,mww,86,63,12.548,0.85,us,us6000nx6t,2024-10-09T13:39:36.005Z,"southeast of Easter Island",earthquake,12.12,1.878,0.052,36,reviewed,us,us
2024-10-07T23:59:04.806Z,-33.4979,-178.5577,10,5.8,mww,57,70,4.258,1.44,us,us6000nx6d,2024-10-09T00:02:35.545Z,"south of the Kermadec Islands",earthquake,9.29,1.862,0.071,19,reviewed,us,us
2024-10-07T20:20:25.870Z,7.3985,126.1923,10,4.9,mb,35,107,0.691,0.46,us,us6000nx4s,2024-10-08T10:43:01.651Z,"23 km SSE of Bantacan, Philippines",earthquake,9.29,1.874,0.114,24,reviewed,us,us
2024-10-07T12:21:29.995Z,10.7725,-62.8594,105.585,5,mb,54,83,1.795,0.84,us,us6000nx1y,2024-10-07T17:54:15.036Z,"22 km N of Yaguaraparo, Venezuela",earthquake,9.48,7.326,0.027,447,reviewed,us,us
2024-10-07T09:36:58.060Z,-19.5916,169.0501,139.233,5.5,mww,54,86,3.358,0.73,us,us6000nx1e,2024-10-09T13:44:51.005Z,"24 km WSW of Isangel, Vanuatu",earthquake,10.13,6.724,0.066,22,reviewed,us,us
2024-10-07T06:18:46.515Z,38.2858,23.2711,10,4.7,mww,144,38,1.037,0.62,us,us6000nx0u,2024-10-10T20:05:12.009Z,"6 km SW of Thívai, Greece",earthquake,5.36,1.845,0.069,20,reviewed,us,us
2024-10-07T05:54:58.640Z,34.8624,26.2324,10,4.8,mb,101,149,1.18,0.41,us,us6000nx0t,2024-10-07T08:11:37.005Z,"37 km S of Palekastro, Greece",earthquake,5.65,1.734,0.056,97,reviewed,us,us
2024-10-07T05:51:17.399Z,-18.9802,-173.1591,10,5.3,mb,41,56,2.922,0.6,us,us6000nx0s,2024-10-07T06:10:44.005Z,"94 km ESE of Neiafu, Tonga",earthquake,6.64,1.864,0.101,33,reviewed,us,us
2024-10-07T05:49:56.451Z,-24.1135,-67.112,187.553,4.6,mb,42,56,2.485,1,us,us6000nx0r,2024-10-07T06:22:17.005Z,"81 km W of San Antonio de los Cobres, Argentina",earthquake,9.13,6.956,0.09,37,reviewed,us,us
2024-10-07T05:35:06.102Z,-24.1429,-67.0647,166.805,4.9,mww,80,55,2.512,1.1,us,us6000nx0l,2024-10-07T05:56:45.005Z,"76 km W of San Antonio de los Cobres, Argentina",earthquake,8.2,6.842,0.08,15,reviewed,us,us
2024-10-07T05:01:56.095Z,25.3194,142.6784,10,4.9,mb,46,117,1.824,0.82,us,us6000nx0h,2024-10-07T06:51:01.005Z,"Volcano Islands, Japan region",earthquake,8.42,1.556,0.094,36,reviewed,us,us
2024-10-07T02:24:16.648Z,-3.7278,151.4494,10,4.6,mb,17,104,0.848,0.57,us,us6000nx0y,2024-10-07T23:07:28.040Z,"94 km WNW of Rabaul, Papua New Guinea",earthquake,7.69,1.9,0.141,15,reviewed,us,us
2024-10-07T01:00:10.073Z,6.825,125.8025,33.36,4.6,mb,20,118,0.329,0.82,us,us6000nwzw,2024-10-07T22:40:34.005Z,"11 km SSE of San Remigio, Philippines",earthquake,13.56,4.567,0.132,17,reviewed,us,us
2024-10-07T00:33:16.194Z,-33.5384,-178.01,10,5,mb,35,130,4.264,1.24,us,us6000nwzm,2024-10-07T00:56:58.005Z,"south of the Kermadec Islands",earthquake,11.06,1.89,0.103,30,reviewed,us,us
2024-10-06T22:53:36.433Z,-6.3909,128.382,362.143,4.5,mb,22,74,2.396,0.62,us,us6000nwyt,2024-10-06T23:06:34.005Z,"280 km NNE of Lospalos, Timor Leste",earthquake,10.57,8.002,0.131,17,reviewed,us,us
2024-10-06T21:52:59.301Z,-13.5766,-111.1482,10,5.6,mww,102,110,13.587,0.92,us,us6000nwyj,2024-10-08T16:59:38.767Z,"central East Pacific Rise",earthquake,12.59,1.879,0.073,18,reviewed,us,us
2024-10-06T21:50:49.646Z,-20.7275,-174.2397,10,5,mb,24,108,0.931,0.77,us,us6000nwyi,2024-10-06T22:08:49.005Z,"97 km ENE of Kolonga, Tonga",earthquake,9.48,1.897,0.126,20,reviewed,us,us
2024-10-06T21:35:03.675Z,-33.4255,-178.474,10,4.9,mb,30,109,4.178,0.98,us,us6000nwyc,2024-10-06T21:52:34.005Z,"south of the Kermadec Islands",earthquake,10.09,1.908,0.122,21,reviewed,us,us
2024-10-06T20:04:07.172Z,-4.9771,102.8475,59.093,4.5,mb,40,99,0.622,0.73,us,us6000nwxw,2024-10-06T20:37:39.005Z,"114 km SSW of Pagar Alam, Indonesia",earthquake,8.14,7.072,0.108,25,reviewed,us,us
2024-10-06T17:56:25.706Z,64.8464,-17.6755,10,5.1,mww,65,102,1.566,0.44,us,us6000nwxc,2024-10-06T18:24:25.005Z,"95 km SSE of Akureyri, Iceland",earthquake,9.81,1.9,0.052,36,reviewed,us,us
2024-10-06T17:20:03.210Z,38.6405,141.7572,57.641,4.6,mb,28,142,2.212,0.41,us,us6000nwx8,2024-10-06T17:38:49.005Z,"34 km NE of Onagawa Chō, Japan",earthquake,6.66,8.937,0.152,13,reviewed,us,us
2024-10-06T17:10:03.972Z,9.1287,40.3209,10,4.9,mb,67,74,3.445,0.48,us,us6000nwx4,2024-10-08T11:19:58.649Z,"23 km NE of Āwash, Ethiopia",earthquake,8.83,1.856,0.069,65,reviewed,us,us
2024-10-06T13:00:58.349Z,-17.2115,171.6429,10,5.2,mww,39,75,6.14,0.54,us,us6000nwwa,2024-10-06T13:21:11.005Z,"Vanuatu region",earthquake,9.93,1.869,0.073,18,reviewed,us,us
2024-10-06T12:08:40.597Z,39.0052,25.8344,10,4.6,mb,26,48,0.837,0.91,us,us6000nww7,2024-10-07T07:28:56.784Z,"20 km SSW of Eresós, Greece",earthquake,4.88,1.884,0.165,11,reviewed,us,us
